failure_type,model,prompt_id,prompt,task,topic,observed_condition,final_top1_token,layer,subspace_family,subspace_k,top_k_output,direction,sign,rho,abs_delta_entropy,abs_delta_varentropy,full_vocab_top10_jaccard,selected_top1_changed,rho_topk_range,candidate_set_kl,candidate_mass_retention_ratio
rho_unstable_across_topk,distilbert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,referee,6,random,8,,score_only,score_only,0.5474313015395581,,,,,0.5936239508580009,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,10,The opposite of early is [MASK].,factual_deep,antonym,error,unknown,2,random,8,,score_only,score_only,0.7074583917413769,,,,,0.584351457606552,,
rho_unstable_across_topk,bert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,4,state_pca,8,,score_only,score_only,0.6044729044174443,,,,,0.5843138360062545,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,22,The currency of Spain is the [MASK].,factual_deep,currency,error,currency,2,random,8,,score_only,score_only,0.4911693723538001,,,,,0.5820494201475366,,
rho_unstable_across_topk,distilbert-base-uncased,13,"In France, the capital city is [MASK].",factual_deep,capital,correct,paris,4,state_pca,8,,score_only,score_only,0.4044881322208071,,,,,0.5820310416218372,,
rho_unstable_across_topk,distilbert-base-uncased,23,The color of grass is usually [MASK].,factual_simple,common,error,yellow,4,state_pca,8,,score_only,score_only,0.4661855549661166,,,,,0.5799695874738574,,
rho_unstable_across_topk,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,2,state_pca,8,,score_only,score_only,0.3713398504493843,,,,,0.5781111006276061,,
rho_unstable_across_topk,distilbert-base-uncased,12,The farmer bought the [MASK].,ambiguous_open,open,ambiguous,land,2,state_pca,8,,score_only,score_only,0.5044359987350542,,,,,0.5763709372660223,,
rho_unstable_across_topk,distilbert-base-uncased,5,The capital of Japan is [MASK].,factual_simple,capital,correct,tokyo,2,state_pca,8,,score_only,score_only,0.4406969585373648,,,,,0.5756975582224251,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,1,The plural of person is [MASK].,factual_deep,plural,error,plural,2,state_pca,8,,score_only,score_only,0.4952285791880628,,,,,0.5747667917710197,,
rho_unstable_across_topk,distilbert-base-uncased,0,The child looked at the [MASK].,ambiguous_open,open,ambiguous,child,2,delta_pca,8,,score_only,score_only,0.4190480269631012,,,,,0.5721110167745858,,
rho_unstable_across_topk,distilbert-base-uncased,3,The coach talked to the [MASK].,ambiguous_open,polysemy,ambiguous,referee,2,state_pca,8,,score_only,score_only,0.2252331793127163,,,,,0.5689110502578706,,
rho_unstable_across_topk,distilbert-base-uncased,22,The currency of Spain is the [MASK].,factual_deep,currency,correct,euro,4,random,8,,score_only,score_only,0.238907986578299,,,,,0.5675160406655104,,
rho_unstable_across_topk,bert-base-uncased,1,The plural of person is [MASK].,factual_deep,plural,error,plural,8,state_pca,8,,score_only,score_only,0.3388003801695769,,,,,0.5668522908394059,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,dr,1,state_pca,8,,score_only,score_only,0.2860338648187963,,,,,0.5643595291590364,,
rho_unstable_across_topk,bert-base-uncased,6,Yesterday they waited near the [MASK].,ambiguous_open,open,ambiguous,river,12,random,8,,score_only,score_only,0.6529208991567866,,,,,0.562373737649791,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,14,The capital of Austria is [MASK].,factual_simple,capital,error,austria,1,state_pca,8,,score_only,score_only,0.1692225487508631,,,,,0.562263178307767,,
rho_unstable_across_topk,distilbert-base-uncased,5,The capital of Japan is [MASK].,factual_simple,capital,correct,tokyo,4,delta_pca,8,,score_only,score_only,0.2900785755173767,,,,,0.5594536324157483,,
rho_unstable_across_topk,distilbert-base-uncased,20,The language of Germany is [MASK].,factual_simple,language,correct,german,2,delta_pca,8,,score_only,score_only,0.4643883187973898,,,,,0.5585454348069733,,
rho_unstable_across_topk,google/bert_uncased_L-2_H-128_A-2,4,A person who treats patients is a [MASK].,factual_deep,role,error,patient,2,random,8,,score_only,score_only,0.4267508603751627,,,,,0.558478370744356,,
rho_unstable_across_topk,distilbert-base-uncased,15,The patient waited for the [MASK].,ambiguous_open,role,ambiguous,doctor,6,random,8,,score_only,score_only,0.7363019188556175,,,,,0.557497941159573,,
rho_unstable_across_topk,distilbert-base-uncased,19,Charles Darwin is associated with [MASK].,factual_deep,culture,error,darwin,4,state_pca,8,,score_only,score_only,0.5117380271705951,,,,,0.5557932662361682,,
rho_unstable_across_topk,distilbert-base-uncased,14,The capital of Austria is [MASK].,factual_simple,capital,correct,vienna,2,delta_pca,8,,score_only,score_only,0.5298186836228712,,,,,0.5548534334983418,,
